u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,access,name,width,junction,tunnel,fid
25632401,25632419,0,"[1174623154, 206720845]",True,"['1', '2']",secondary,,False,106.439,"LINESTRING (-8.6089109 41.1504849, -8.6090937 41.1505322, -8.6095236 41.1506438, -8.6096418 41.1506739, -8.6098386 41.1507215, -8.6099174 41.1507614, -8.6099602 41.1508241, -8.6099839 41.1508997)",,,,Rua de Fernandes Tomás,,,,78
25632402,1278184346,0,8367104,True,1,residential,,False,114.707,"LINESTRING (-8.6094208 41.1501627, -8.6094343 41.1501003, -8.6094397 41.1500752, -8.6094945 41.1498231, -8.6095168 41.1496437, -8.6095185 41.1494714, -8.6095168 41.1493758, -8.6094999 41.1492167, -8.6094974 41.1492013, -8.6094912 41.1491623, -8.6094872 41.1491375)",,,,Rua do Bonjardim,4,,,79
25632411,25632398,0,8367114,True,2,tertiary,,False,207.181,"LINESTRING (-8.6042501 41.1509449, -8.6048091 41.15095, -8.6053649 41.1509574, -8.6057815 41.1509683, -8.6062191 41.1509753, -8.606543 41.1509805, -8.6065511 41.1509797, -8.6067219 41.1509597)",,,,Rua da Firmeza,4,,,80
25632411,25632412,0,252526951,True,,tertiary,,False,172.68900000000002,"LINESTRING (-8.6042501 41.1509449, -8.6041872 41.1502245, -8.6041532 41.1498473, -8.6041093 41.1493955)",,,,Rua da Alegria,4,,,81
25632412,25632433,0,14328446,True,,secondary,,False,81.548,"LINESTRING (-8.6041093 41.1493955, -8.6040064 41.1493719, -8.6031713 41.1491982)",,,,Rua de Fernandes Tomás,,,,82
25632412,129553875,0,252526951,True,,tertiary,,False,196.16500000000002,"LINESTRING (-8.6041093 41.1493955, -8.6040977 41.1493117, -8.6040451 41.1487785, -8.6039968 41.1483147, -8.6039407 41.1477338, -8.6039313 41.1476365)",,,,Rua da Alegria,4,,,83
25632419,452682265,0,"[1064101795, 38336628, 1064101797]",True,"['4', '3']",secondary,,False,100.89899999999999,"LINESTRING (-8.6099839 41.1508997, -8.6095608 41.151371, -8.6095356 41.151399, -8.6095047 41.1514421, -8.6094979 41.1514773, -8.6095085 41.1515216, -8.6095342 41.1515651, -8.6096448 41.1516617)",,,,Rua da Trindade,,,,84
25632422,3130312338,0,1062647699,False,2,tertiary,50,False,14.884,"LINESTRING (-8.6104496 41.1491992, -8.610279 41.1491616)",,,,Rua de Guilherme da Costa Carvalho,,,,85
25632422,2242805402,0,"[1172514816, 60175590]",True,3,secondary,,False,163.209,"LINESTRING (-8.6104496 41.1491992, -8.610414 41.1492612, -8.6102387 41.1495666, -8.6102157 41.1496493, -8.6102062 41.1497297, -8.6102115 41.1498128, -8.610236 41.1499034, -8.6103431 41.1502996, -8.610351 41.1503452, -8.610337 41.1504258, -8.6103033 41.1505245, -8.6102434 41.150606)",,,,Rua Doutor António Luís Gomes,,,,86
25632423,25632426,0,252527740,True,2,secondary,,False,252.475,"LINESTRING (-8.6022297 41.1510098, -8.6024055 41.1532765)",,,,Rua de Dom João IV,4,,,87
